timestamp,sm_AURO,sm_BEAR,sm_CAST,sm_CLA2,sm_CLAY,sm_FLET,sm_NCAT,sm_NEWL,sm_OXFO,sm_PLYM,sm_REID,sm_SALI,sm_SPIN,sm_SPRU,sm_WINE,temp10_SPRU,anomaly,station
2021-01-01 00:00:00,,0.205,0.237,0.307,,0.509,0.5,0.626,,0.229,0.252,0.511,,0.251,,13.52,1,BEAR
2021-01-01 00:01:00,,0.205,0.237,,,0.509,0.5,0.626,,0.229,0.252,0.511,,0.251,,13.53,1,BEAR
2021-01-01 00:02:00,,0.205,0.237,0.307,,0.509,0.5,0.626,,0.229,0.252,0.511,,0.251,,13.53,1,BEAR
2021-01-01 00:03:00,,0.205,0.237,0.307,,0.509,0.5,0.628,,0.229,0.252,0.511,,0.25,,13.52,1,BEAR
2021-01-01 00:04:00,,0.205,0.237,0.307,,0.508,0.5,0.626,,0.229,0.252,0.511,,0.251,,13.53,1,BEAR
2021-01-01 00:05:00,,0.205,0.237,0.307,,0.508,0.5,0.627,,0.229,0.252,0.511,,0.251,,13.53,1,BEAR
2021-01-01 00:06:00,,0.205,0.237,0.307,,0.508,0.5,0.627,,0.229,0.252,0.511,,0.25,,13.53,1,BEAR
2021-01-01 00:07:00,,0.205,0.237,0.307,,0.508,0.5,0.626,,0.229,0.252,0.511,,0.251,,13.53,1,BEAR
2021-01-01 00:08:00,,0.205,0.237,0.307,,0.508,0.5,0.627,,0.229,0.252,0.511,,0.25,,13.5,1,BEAR
2021-01-01 00:09:00,,0.205,0.237,0.307,,0.508,0.5,0.628,,0.229,0.252,0.511,,0.251,,13.53,1,BEAR
2021-01-01 00:10:00,,0.205,0.237,0.307,,0.508,0.5,0.626,,0.229,0.252,0.511,,0.251,,13.53,1,BEAR
2021-01-01 00:11:00,,0.205,0.237,0.307,,0.508,0.5,0.627,,0.229,0.252,0.511,,0.251,,13.53,1,BEAR
2021-01-01 00:12:00,,0.205,0.237,0.307,,0.508,0.5,0.628,,0.229,0.252,0.511,,0.25,,13.53,1,BEAR
2021-01-01 00:13:00,,0.205,0.237,0.307,,0.508,0.5,0.624,,0.229,0.252,0.511,,0.25,,13.52,1,BEAR
2021-01-01 00:14:00,,0.205,0.237,0.307,,0.508,0.5,0.624,,0.229,0.252,0.511,,0.251,,13.53,1,BEAR
2021-01-01 00:15:00,,0.205,0.237,0.307,,0.508,0.5,0.624,,0.229,0.252,0.511,,0.251,,13.53,1,BEAR
2021-01-01 00:16:00,,0.205,0.237,0.307,,0.508,0.5,0.625,,0.229,0.252,0.511,,0.251,,13.53,1,BEAR
2021-01-01 00:17:00,,0.205,0.237,0.307,,0.508,0.5,0.625,,0.229,0.252,0.511,,0.251,,13.53,1,BEAR
2021-01-01 00:18:00,,0.205,0.237,0.308,,0.508,0.5,0.625,,0.229,0.252,0.511,,0.251,,13.52,1,BEAR
2021-01-01 00:19:00,,0.205,0.237,0.308,,0.508,0.5,0.625,,0.229,0.252,0.511,,0.251,,13.53,1,BEAR
2021-01-01 00:20:00,,0.205,0.237,0.308,,0.508,0.5,0.625,,0.229,0.252,0.511,,0.25,,13.53,1,BEAR
2021-01-01 00:21:00,,0.205,0.237,0.308,,0.508,0.5,0.624,,0.229,0.252,0.511,,0.251,,13.53,1,BEAR
2021-01-01 00:22:00,,0.205,0.237,0.308,,0.508,0.5,0.625,,0.229,0.251,0.511,,0.251,,13.52,1,BEAR
2021-01-01 00:23:00,,0.205,0.237,0.308,,0.508,0.5,0.625,,0.229,0.252,0.511,,0.251,,13.52,1,BEAR
2021-01-01 00:24:00,,0.205,0.237,0.308,,0.508,0.5,0.627,,0.229,0.252,0.511,,0.251,,13.53,1,BEAR
2021-01-01 00:25:00,,0.205,0.237,0.308,,0.508,0.5,0.626,,0.229,0.252,0.511,,0.251,,13.53,1,BEAR
2021-01-01 00:26:00,,0.205,0.237,0.308,,0.508,0.5,0.626,,0.229,0.252,0.511,,0.251,,13.53,1,BEAR
2021-01-01 00:27:00,,0.205,0.237,0.308,,0.508,0.5,0.626,,0.229,0.252,0.511,,0.251,,13.53,1,BEAR
2021-01-01 00:28:00,,0.205,0.237,0.308,,0.508,0.5,0.626,,0.229,0.252,0.511,,0.25,,13.52,1,BEAR
2021-01-01 00:29:00,,0.205,0.237,0.308,,0.508,0.5,0.626,,0.229,0.252,0.511,,0.251,,13.53,1,BEAR
2021-01-01 00:30:00,,0.205,0.237,0.308,,0.508,0.5,0.625,,0.228,0.252,0.511,,0.251,,13.51,1,BEAR
2021-01-01 00:31:00,,0.205,0.237,0.308,,0.508,0.5,0.624,,0.228,0.252,0.511,,0.251,,13.49,1,BEAR
2021-01-01 00:32:00,,0.205,0.237,0.308,,0.508,0.5,0.624,,0.228,0.252,0.511,,0.25,,13.53,1,BEAR
2021-01-01 00:33:00,,0.205,0.237,0.308,,0.508,0.5,0.624,,0.228,0.252,0.511,,0.25,,13.52,1,BEAR
2021-01-01 00:34:00,,0.205,0.237,0.308,,0.508,0.5,0.624,,0.228,0.252,0.511,,0.25,,13.53,1,BEAR
2021-01-01 00:35:00,,0.205,0.237,0.308,,0.508,0.5,0.624,,0.228,0.252,0.511,,0.25,,13.52,1,BEAR
2021-01-01 00:36:00,,0.205,0.237,0.308,,0.508,0.5,0.625,,0.228,0.252,0.511,,0.251,,13.53,1,BEAR
2021-01-01 00:37:00,,0.205,0.237,0.308,,0.508,0.5,0.625,,0.228,0.252,0.511,,0.25,,13.53,1,BEAR
2021-01-01 00:38:00,,0.205,0.237,0.308,,0.508,0.5,0.624,,0.228,0.252,0.511,,0.251,,13.51,1,BEAR
2021-01-01 00:39:00,,0.205,0.237,0.308,,0.508,0.5,0.624,,0.228,0.252,0.511,,0.25,,13.5,1,BEAR
2021-01-01 00:40:00,,0.205,0.237,0.308,,0.508,0.5,0.624,,0.228,0.252,0.511,,0.25,,13.53,1,BEAR
2021-01-01 00:41:00,,0.205,0.237,0.308,,0.508,0.5,0.624,,0.228,0.252,0.511,,0.25,,13.51,1,BEAR
